::ffff:127.0.0.1 - - [13/Mar/2023:18:42:15 +0000] "GET /orders HTTP/1.1" 200 3715 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:43:52 +0000] "GET /cart HTTP/1.1" 304 - "http://localhost:3000/orders" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:44:16 +0000] "GET /cart HTTP/1.1" 304 - "http://localhost:3000/orders" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:44:21 +0000] "GET /cart HTTP/1.1" 304 - "http://localhost:3000/orders" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:44:40 +0000] "GET /cart HTTP/1.1" 304 - "http://localhost:3000/orders" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:44:47 +0000] "GET / HTTP/1.1" 200 2877 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:45:32 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:45:57 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:46:37 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:47:52 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:48:05 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::ffff:127.0.0.1 - - [13/Mar/2023:18:48:37 +0000] "GET / HTTP/1.1" 200 2877 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0"
::1 - - [13/Mar/2023:18:51:19 +0000] "GET / HTTP/1.1" 200 2163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [13/Mar/2023:18:51:43 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [13/Mar/2023:18:53:06 +0000] "GET / HTTP/1.1" 200 2163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [13/Mar/2023:18:53:31 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [13/Mar/2023:18:53:53 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [13/Mar/2023:18:54:22 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [13/Mar/2023:18:54:49 +0000] "GET / HTTP/1.1" 200 2163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
